Timestamp,Status,Response Time,Client IP,Method,Endpoint
2025/02/18 - 08:21:25,200,481.089µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:21:27,200,370.39µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:21:28,200,422.61µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:21:28,200,51.25µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:22:06,200,34.43µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:22:47,200,32.403976071s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:22:55,200,35.632055108s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:23:45,200,30.316664776s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:27:26,200,412.469µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:27:29,200,360.91µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:27:32,200,363.32µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:27:54,200,574.379µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:28:42,200,593.639µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:28:42,200,34.41µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:28:51,200,389.22µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:28:51,200,48.67µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:29:29,200,361.6µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:29:29,200,34.11µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:31:55,200,13.039871ms,10.61.60.189,POST,/api/show
2025/02/18 - 08:31:55,200,13.26714ms,10.61.60.189,POST,/api/show
2025/02/18 - 08:31:55,200,12.895741ms,10.61.60.189,POST,/api/show
2025/02/18 - 08:31:55,200,12.763411ms,10.61.60.189,POST,/api/show
2025/02/18 - 08:32:10,200,3.718606733s,10.61.60.189,POST,/api/chat
2025/02/18 - 08:32:37,200,4.987239078s,10.61.60.189,POST,/api/chat
2025/02/18 - 08:32:37,200,290.6375ms,10.61.60.189,POST,/api/chat
2025/02/18 - 08:34:33,200,43.33µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:35:08,200,36.99µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:35:26,200,41.18µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:37:32,200,356.779µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:38:04,200,374.13µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:38:09,200,359.14µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:38:14,200,345.21µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:38:21,200,386.109µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:38:22,200,374.709µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:38:23,200,365.699µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:40:42,200,392.679µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:40:52,200,910.209µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:40:55,200,376.9µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:14,200,387.219µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:16,200,387.849µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:19,200,362.709µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:21,200,375.719µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:25,200,34.68µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:41:26,200,361.469µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:30,200,347.819µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:34,200,347.959µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:41:34,200,49.26µs,192.168.0.1,GET,/api/version
2025/02/18 - 08:42:08,200,374.809µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:42:20,200,381.209µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:42:42,200,10.987743538s,192.168.0.1,POST,/api/chat
2025/02/18 - 08:42:46,200,397.52µs,192.168.0.1,GET,/api/tags
2025/02/18 - 08:42:50,200,13.804654024s,192.168.0.1,POST,/api/chat
