Timestamp,Status,Response Time,Client IP,Method,Endpoint,Response Time (s)
2025/02/18 - 08:21:25,200,481.089탎,192.168.0.1,GET,/api/tags,0.000481089
2025/02/18 - 08:21:27,200,370.39탎,192.168.0.1,GET,/api/tags,0.00037039
2025/02/18 - 08:21:28,200,422.61탎,192.168.0.1,GET,/api/tags,0.00042261
2025/02/18 - 08:21:28,200,51.25탎,192.168.0.1,GET,/api/version,0.00005125
2025/02/18 - 08:22:06,200,34.43탎,192.168.0.1,GET,/api/version,0.00003443
2025/02/18 - 08:22:47,200,32.403976071s,192.168.0.1,POST,/api/chat,32.40397607
2025/02/18 - 08:22:55,200,35.632055108s,192.168.0.1,POST,/api/chat,35.63205511
2025/02/18 - 08:23:45,200,30.316664776s,192.168.0.1,POST,/api/chat,30.31666478
2025/02/18 - 08:27:26,200,412.469탎,192.168.0.1,GET,/api/tags,0.000412469
2025/02/18 - 08:27:29,200,360.91탎,192.168.0.1,GET,/api/tags,0.00036091
2025/02/18 - 08:27:32,200,363.32탎,192.168.0.1,GET,/api/tags,0.00036332
2025/02/18 - 08:27:54,200,574.379탎,192.168.0.1,GET,/api/tags,0.000574379
2025/02/18 - 08:28:42,200,593.639탎,192.168.0.1,GET,/api/tags,0.000593639
2025/02/18 - 08:28:42,200,34.41탎,192.168.0.1,GET,/api/version,0.00003441
2025/02/18 - 08:28:51,200,389.22탎,192.168.0.1,GET,/api/tags,0.00038922
2025/02/18 - 08:28:51,200,48.67탎,192.168.0.1,GET,/api/version,0.00004867
2025/02/18 - 08:29:29,200,361.6탎,192.168.0.1,GET,/api/tags,0.0003616
2025/02/18 - 08:29:29,200,34.11탎,192.168.0.1,GET,/api/version,0.00003411
2025/02/18 - 08:31:55,200,13.039871ms,10.61.60.189,POST,/api/show,0.013039871
2025/02/18 - 08:31:55,200,13.26714ms,10.61.60.189,POST,/api/show,0.01326714
2025/02/18 - 08:31:55,200,12.895741ms,10.61.60.189,POST,/api/show,0.012895741
2025/02/18 - 08:31:55,200,12.763411ms,10.61.60.189,POST,/api/show,0.012763411
2025/02/18 - 08:32:10,200,3.718606733s,10.61.60.189,POST,/api/chat,3.718606733
2025/02/18 - 08:32:37,200,4.987239078s,10.61.60.189,POST,/api/chat,4.987239078
2025/02/18 - 08:32:37,200,290.6375ms,10.61.60.189,POST,/api/chat,0.2906375
2025/02/18 - 08:34:33,200,43.33탎,192.168.0.1,GET,/api/version,0.00004333
2025/02/18 - 08:35:08,200,36.99탎,192.168.0.1,GET,/api/version,0.00003699
2025/02/18 - 08:35:26,200,41.18탎,192.168.0.1,GET,/api/version,0.00004118
2025/02/18 - 08:37:32,200,356.779탎,192.168.0.1,GET,/api/tags,0.000356779
2025/02/18 - 08:38:04,200,374.13탎,192.168.0.1,GET,/api/tags,0.00037413
2025/02/18 - 08:38:09,200,359.14탎,192.168.0.1,GET,/api/tags,0.00035914
2025/02/18 - 08:38:14,200,345.21탎,192.168.0.1,GET,/api/tags,0.00034521
2025/02/18 - 08:38:21,200,386.109탎,192.168.0.1,GET,/api/tags,0.000386109
2025/02/18 - 08:38:22,200,374.709탎,192.168.0.1,GET,/api/tags,0.000374709
2025/02/18 - 08:38:23,200,365.699탎,192.168.0.1,GET,/api/tags,0.000365699
2025/02/18 - 08:40:42,200,392.679탎,192.168.0.1,GET,/api/tags,0.000392679
2025/02/18 - 08:40:52,200,910.209탎,192.168.0.1,GET,/api/tags,0.000910209
2025/02/18 - 08:40:55,200,376.9탎,192.168.0.1,GET,/api/tags,0.0003769
2025/02/18 - 08:41:14,200,387.219탎,192.168.0.1,GET,/api/tags,0.000387219
2025/02/18 - 08:41:16,200,387.849탎,192.168.0.1,GET,/api/tags,0.000387849
2025/02/18 - 08:41:19,200,362.709탎,192.168.0.1,GET,/api/tags,0.000362709
2025/02/18 - 08:41:21,200,375.719탎,192.168.0.1,GET,/api/tags,0.000375719
2025/02/18 - 08:41:25,200,34.68탎,192.168.0.1,GET,/api/version,0.00003468
2025/02/18 - 08:41:26,200,361.469탎,192.168.0.1,GET,/api/tags,0.000361469
2025/02/18 - 08:41:30,200,347.819탎,192.168.0.1,GET,/api/tags,0.000347819
2025/02/18 - 08:41:34,200,347.959탎,192.168.0.1,GET,/api/tags,0.000347959
2025/02/18 - 08:41:34,200,49.26탎,192.168.0.1,GET,/api/version,0.00004926
2025/02/18 - 08:42:08,200,374.809탎,192.168.0.1,GET,/api/tags,0.000374809
